Masked Well Name,Fuel Type,Fuel Value,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12,R_13,R_14,R_15,R_16,R_17,R_18,R_19,R_20,R_21,R_22,R_23,R_24,R_25,R_26,R_27,R_28,R_29,R_30,R_31,R_32,R_33,R_34,R_35,R_36,R_37,R_38,R_39,R_40,R_41,R_42,R_43,R_44,R_45,R_46,R_47,R_48,R_49,R_50,R_51,R_52,R_53,R_54,R_55,R_56,R_57,R_58,R_59,R_60,R_61,R_62,R_63,R_64,R_65,R_66,R_67,R_68,R_69,R_70,R_71,R_72,R_73,R_74,R_75,R_76,R_77,R_78,R_79,R_80,R_81,R_82,R_83,R_84,R_85,R_86,R_87,R_88,R_89,R_90,R_91,R_92,R_93,R_94,R_95,R_96,R_97,R_98,R_99,R_100
Richmond 5H,Grid,1809635.1949027258,1887777.3100686744,0.0,1924349.0000000359,1899956.4302361603,1825254.8714333568,0.0,1912113.824897649,1863945.9999999881,0.0,1521749.8517281718,1883866.7083164502,0.0,0.0,1159588.5403715216,1863945.9999999881,1860645.8889899622,1805018.6201383765,1783994.7300139163,1899956.4302361603,1412821.4318265533,1863945.9999999881,1733784.811775227,1767595.871555891,1539305.761662149,1428306.1422861684,1723984.1960297779,0.0,0.0,0.0,1775993.460444099,1784324.0594580178,1784044.653405795,1904000.2834391152,1756979.9772702977,1909067.2036846306,1798110.7489812614,1820610.4974849897,0.0,1665725.2033279103,1847708.7245311562,1783437.376174349,1817579.9593475612,1847066.4163234092,1890275.9912251108,1778597.6860718874,1806886.574873347,1633726.8569102297,1784107.6322267216,1863945.9999999881,1851449.491041495,1863945.9999999881,1698056.8112031107,0.0,1848651.6225480433,1883866.7083164502,1474026.1055011598,1904000.2834391152,1878866.663296683,1657290.9931745338,0.0,0.0,0.0,1924349.0000000359,1772474.8088385346,1503606.028199989,1924349.0000000359,1878866.663296683,1497742.8592644443,1739276.120684722,0.0,1838481.1779466374,1880726.9543048919,1924349.0000000359,1803770.4990690222,0.0,1795439.8476353397,1808964.706329215,1863945.9999999881,1909067.2036846306,0.0,1884794.6807772107,1886077.8254577825,1886270.963755715,1875430.2523563202,1883866.7083164502,1883866.7083164502,1740936.767343714,1413494.610476966,1802195.0783203752,1893906.7459291255,1863945.9999999881,1827873.765240396,1768712.7261590923,1826462.1948379006,1863945.9999999881,1746866.584954785,1451331.0193738316,1904000.2834391152,1910512.4243139974,1904000.2834391152
Mecosta 3H,Grid,1301556.7661495307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1264268.1209486485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1265940.7856771755,0.0,0.0,0.0,0.0,0.0,0.0,1290172.9969825428,0.0,0.0,0.0,0.0,0.0,0.0,1477706.6138685413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. John the Baptist 4H,Grid,1145384.129690679,1205243.3275834483,0.0,0.0,1070622.9061641376,1016043.5108963939,0.0,1139379.4706927163,1032130.5479491424,1165589.2175652813,0.0,0.0,0.0,1070611.8704832203,1091653.0931767975,1055601.0144647432,1152768.625171059,1257021.3607800573,0.0,0.0,0.0,0.0,0.0,991844.0692404507,1228162.0229558398,0.0,1288822.7391785856,0.0,0.0,0.0,1037543.503489276,0.0,996686.6912823139,1157165.9432720586,0.0,1161096.2013974462,0.0,1227697.326075378,0.0,1165363.7619650022,0.0,1206831.9381236376,0.0,0.0,1190464.6276573408,0.0,1233593.6018440484,0.0,0.0,0.0,963087.104438495,1227320.81371938,0.0,0.0,1172976.368674952,1034973.2248661966,0.0,1131351.853488373,1065374.84549286,1254219.847590363,0.0,0.0,0.0,1088411.226350105,1146988.7008460653,0.0,1156110.6362030492,1168558.1285467872,0.0,0.0,0.0,1017684.1666764359,0.0,1091225.7669386314,0.0,0.0,0.0,1002435.9726025489,1186760.8670976183,1014254.8989572829,0.0,1219463.1930605127,1063543.7148349145,1082718.5375084719,1067501.7226967334,1120731.0846840194,0.0,1125941.7552147754,1195301.3081210102,1035472.0791468385,1067331.9749020357,1154453.7140373779,0.0,1157549.1199065498,1084964.8769840107,1194730.2723202603,1116486.921279387,1033985.5686345903,1060739.9194001285,1188336.4985229285,1120862.766675782
Owyhee 1H,Grid,2564869.205844966,2561123.5028514913,0.0,0.0,0.0,1268109.1103858564,2537857.210642548,2564869.205844966,2551791.5020220904,1073233.251174151,2460422.977953269,0.0,0.0,0.0,2558297.6177317747,2499024.929163171,2551791.5020220904,2523999.0000000466,0.0,2425900.431081612,0.0,0.0,2542493.5004414576,2568620.3863899373,0.0,2523999.0000000466,2523999.0000000466,0.0,0.0,2542493.5004414576,2543945.991232142,2523999.0000000466,2523999.0000000466,2561123.5028514913,0.0,2205022.771075845,2537857.210642548,2564869.205844966,0.0,2551791.5020220904,2369941.6290678713,2579889.999999979,2559088.643174461,2564869.205844966,2579889.999999979,2564869.205844966,2523999.0000000466,2542493.5004414576,2542493.5004414576,0.0,2579889.999999979,2568620.3863899373,0.0,0.0,2579889.999999979,2568620.3863899373,0.0,2551791.5020220904,2561123.5028514913,2564869.205844966,0.0,2578408.007671046,2521196.1991407224,2331277.08045427,2511111.3279292504,0.0,2557391.632550402,2579889.999999979,2406179.3599630287,2535986.925709933,2579889.999999979,2438650.861314648,2587441.810270891,2585551.788067871,1164049.2396710822,2255149.4212705065,2564869.205844966,0.0,2495652.6918598334,2436666.4388415636,0.0,2455335.5343612046,2579889.999999979,2568613.6665032906,2587441.810270891,2460600.268645233,2579889.999999979,2330406.1299768067,2535079.4953805474,2537857.210642548,2542493.5004414576,2509251.5498205447,2583663.1462938795,2523999.0000000466,2542493.5004414576,2249880.6377344844,2542493.5004414576,2546211.959738548,2401639.2410798734,2564869.205844966,2583663.1462938795
Pinellas 2H,Grid,1176013.6311048272,1143185.6698968366,0.0,1265959.864757006,1182925.5525834074,1257866.6093283154,0.0,1209868.54809325,1202360.8326548892,1193251.6328942622,0.0,0.0,0.0,1347347.4841785042,1321085.5034531723,1261612.7096967024,1114956.173785513,1224850.9868642716,0.0,1134846.5683111472,0.0,0.0,0.0,1104541.44077906,1233247.6060097364,1055974.5141555106,1144226.6527246598,1220479.6163312136,0.0,0.0,1126570.4980690803,1262886.4788597422,1114803.395064891,1254167.6994235339,1166626.8324777288,1222110.649069402,1110517.423637614,1203180.1536016983,0.0,1170674.3400675652,1283585.121670827,1115433.601993016,1311372.7532049273,1226097.8364709795,1301605.665641547,0.0,1379647.6604422475,1052800.6972452125,1252676.5566173862,1143778.8571280767,1110453.4671339074,1273506.419791941,0.0,0.0,1293087.1295904478,1287577.071156344,0.0,1327188.101125602,1081269.431449252,0.0,0.0,1215506.3610861066,1083915.610837151,1337953.2356195953,1175536.3720623269,1223314.5813075781,1185426.27505493,1315002.316467055,0.0,1104846.285937149,1283439.216468833,1214793.6195293886,1238056.0846765474,1251866.1517031847,1243715.5355868442,0.0,1210418.3044981682,1249782.657103613,1217271.0392584612,1256521.6185958085,1227615.5255173268,1191051.3373562898,1199307.7183290997,1244702.2631827001,1121634.7171041593,1238441.1768679172,1211946.2120858005,1117701.9929846297,1259350.6139316347,1246369.3400960611,1233058.562892876,1134848.0748003954,0.0,1268751.1712517145,0.0,1355979.8541353394,1103164.6110480577,1063432.0527500429,1237720.3123439467,1198224.0397397254,1221530.3570418032
Pinellas 6H,Grid,1188966.188262845,1215763.9951451125,933157.985197625,1299273.3133188495,0.0,1054178.6477788908,1148068.2866490132,0.0,1335566.3529714544,1041009.3635692877,0.0,1276361.9269077305,0.0,1360312.349710639,958897.1777797007,1190361.1274166708,1044839.253240644,1094634.7756235902,0.0,0.0,1136120.297306682,0.0,1322152.9780259735,1390289.9999999842,1193962.6870893908,988451.4117582851,1390289.9999999842,0.0,0.0,0.0,1164974.318473021,1073353.5368654637,980819.4980437929,1174302.3334302003,0.0,1313747.7017614315,1040453.9221935908,1370870.0388361702,0.0,1321520.8551178293,1156929.4681364023,1127047.4068791668,1345598.3369313,1099359.7706447872,1052827.384953796,1367262.5765207093,1350863.4365127727,1390289.9999999842,1204719.2062736345,1023451.3904912015,915375.1952514669,1164129.0486672833,0.0,0.0,1215444.4465213772,1376760.9124635176,1306918.303870463,1390289.9999999842,1292931.45558498,1320679.6717512326,0.0,1342620.7387375438,0.0,1433218.0935957092,1053239.4806474915,1354909.9846337487,1248242.657463119,1351127.0769374196,1349752.045441882,1041938.9995881721,0.0,1376828.9647527605,0.0,1377920.7516036527,1269392.9012303983,0.0,1117192.1366119932,1136190.7481120764,1354363.1912301015,1363962.3318509266,0.0,1183141.5627701925,1354851.0074232458,1298546.6601411682,1209276.1467012747,1153978.8622883074,1150085.121432637,1188856.4270212057,971194.5528126471,1364246.0487539896,1271776.8022763927,972315.4399809352,1206913.7659349595,957238.8965450063,1202804.0748815823,1384999.6486628656,1370513.4089233566,1387734.48498724,965504.7740841389,1150980.0359433098,1410506.687817949
Buchanan 6H,DGB_CNG,7474.160000000005,6071.483324587572,7141.070336429535,6693.357608680993,6082.637385973483,7034.668743423686,7191.681981263472,6589.895528224514,6008.675583818331,6588.002883527959,6948.177159289108,5915.481335554607,5221.696994166985,5849.00406318127,5396.603972203884,4777.604953925996,7133.271678127946,6426.7654278129085,5905.409438317123,6131.090701188991,6859.884015646107,6116.3288148061965,6045.207400522889,5427.516470714823,5896.450306569356,5864.854690396953,6461.9065081919225,5913.384494573356,5195.4753395308535,6292.746004616456,5287.154076339757,5941.78369007717,5658.678807568082,6142.674340896002,6782.959943830845,5975.524504265214,5613.732868853354,6268.770977829307,7337.14849814435,6285.156378496994,5866.98714383812,6111.544802946976,6221.636676060634,5315.517100204627,6176.9909726312635,6159.678751707725,7393.194939597914,6612.633555370645,6042.778962229857,5185.947453589501,6538.384553230433,4925.5649007869815,4990.009437286664,5335.880575981215,6447.57933045325,6248.115883667031,5042.445182007446,5957.078704150885,6498.474263177056,6146.598544216584,4835.249838276765,6483.475804567096,6268.760386342219,5168.732764757305,6581.348550802164,5598.186039291541,5776.164189166032,5595.500641887692,6646.964865067951,5796.111913069148,5908.700916287167,6415.760335615821,6214.3771288993485,5830.710349261247,7003.618069856109,5328.193900134894,5824.039252929434,5574.801251483431,5729.674176212845,6055.899353520696,4813.496579999725,6410.376444313989,6180.588667265164,5183.577526501014,6416.697940166488,5420.506437349509,5339.719184610196,6671.003602623478,7085.515945515211,5711.160801967079,5904.777648269705,6423.136368202053,5643.567808577304,5944.122215130011,6289.6099497358455,6086.353663737552,5825.787330794414,6505.406863644724,6092.837722233788,6637.985592222741,6077.590640907634
Yabucoa 1H,Turbine,8780.139999999994,7923.830305690733,10478.83781606474,7478.356032204501,12538.12003540431,6649.649022572505,8080.952417041249,7920.060663476238,7695.393569903074,8297.850906336633,8372.019933060421,13503.483062684896,8183.384327087238,8174.376614221553,8490.820420884414,8836.556558876435,9186.800145441115,7604.297565010888,6686.41192282058,8308.078506998834,8588.80883625626,12899.975116851869,8867.931398236124,7067.877802927199,7370.815513237292,8097.277974186014,8719.16646255468,7165.811744561002,7555.562874593382,8576.865178847254,7701.427744860133,10167.769070372484,7473.126254624202,11608.863316384686,8744.973155866925,7534.916536713348,13118.322725908802,9140.701733346265,9698.657053847091,8457.363030479864,11574.750276223522,7957.764908350202,7958.113121832693,7836.815594451171,7624.135943813345,9827.000519299228,7576.100326002361,9029.816950690389,13599.098646000744,10132.32553926824,8790.840540513631,8077.223415579361,9295.908919176594,8298.083954349711,14066.531634484976,7775.363969662642,8279.767399737077,7412.647303040252,7791.938436943022,9258.344580418468,7808.5790769705345,8644.429366686081,11035.828416283355,6844.038178953239,8124.242810482162,8683.634733587543,7920.467413029027,7652.588755011533,7155.391965474186,8928.852096828361,7229.412002850791,7889.411160264802,7662.118325402081,8044.424894747074,7674.246352122036,7719.445058427282,7957.950758413524,11105.617206774365,7917.366794227534,7183.966155337767,8764.967240467555,8563.583263924702,6529.906363941619,8582.686751284939,7506.111051971735,9444.09528810673,7396.426761542671,8316.717248770621,7776.156297556469,7840.666514253213,7727.296409050359,8591.809357106496,8851.545324072738,6964.995958626864,12778.89491780474,10890.609662845482,9476.34602295066,7194.965099866853,9164.87636910422,8177.304332861378,10328.96089694942
Queen Anne's 1H,DGB_CNG,10845.85,7703.798479511638,9303.193067779786,8772.589966052621,8206.388148515864,7315.183465847047,8817.935589693427,8400.806706228612,8027.065022644048,10078.673981012083,8061.132373917935,8382.74062603566,6512.919345359496,7457.600959927516,7934.3927063057345,8393.952454427614,7265.874932422708,7779.9819975786995,7269.84921865506,7499.265553065974,8858.925880106983,7839.177547505941,7369.103605729883,6863.433802247108,8517.327166329982,7423.187208167473,7143.76239960668,8698.270198755848,7198.797755546884,7960.018246986781,7036.344039661527,9393.12223638171,8653.843341443118,7721.472448632323,7948.124684459492,7291.207890776145,7046.275998136924,6729.407065483469,9000.28757078751,7405.750088086095,7215.568880921743,8984.723258442267,7586.205466232261,7900.256245727727,6979.105454901005,8420.692365746054,7401.788493900557,8870.054061764267,7674.422539260937,7833.041093529342,8013.025895762778,8693.912525414451,8199.698668622998,9413.1849521378,7580.925255890051,7883.975846999571,9176.405392144005,10691.013866562786,8720.9608497222,8916.87253097055,8234.645353142407,8278.702075743122,7644.951257884688,8165.516037537157,6958.431864820911,9692.837450980876,7158.969368374682,7496.14985376958,8591.789948560663,8342.989831018427,9479.436600694064,8027.365494696999,7749.1782223943455,7226.933779037132,7940.402357965367,7485.686827543033,7759.025581991296,8132.5914206964,8084.526146567968,7749.420252568973,6520.282000159154,7172.872882539775,7716.2675131524,7882.861055250794,7888.942925624916,9608.59026087647,7576.749495851513,8191.860768119329,7477.976444760716,8941.968254094341,7636.799705434057,8772.559601990233,7959.8368848984655,7613.64570845945,7396.880408779616,8319.81413364566,7755.062895913587,7706.65698218828,7922.932464888495,7380.379951651945,7846.445600755035
De Soto 3H,Turbine,12805.41,12945.814274367413,12672.498810509896,13136.562883100689,13115.704291843702,11581.489464972808,11405.20195809873,14175.123581283364,10261.92913444303,13955.998880832807,16098.06759648378,11959.507051097671,13938.933436351535,13134.917335451031,20575.97353435235,10837.516842958976,12494.100916387515,11516.489370334237,11821.236360153724,12912.24076958705,12266.294008281026,11478.57322828964,11486.481026992842,11994.461778421108,11701.51912480941,11214.05038556161,16290.753422025296,12616.88975602795,11908.751137501004,10991.927363112474,11102.878412534876,11809.257565333784,11540.883213969122,13170.758764221928,11504.580276127566,12988.39213501884,11918.03793717495,12363.62326295729,13216.061247529482,11532.955614154234,11951.868834596884,12460.354850109308,9470.212518604723,11860.8295998682,11566.274403668824,17986.39336664651,15772.323024038527,13388.156965856428,11826.773898052332,11982.841366783205,12882.2768817975,12274.152707435174,11982.01363248792,14032.063907761863,11747.826991250606,12076.62550213238,11640.76251396675,12601.40805174074,12303.921478645065,11760.861320790738,11288.794670729036,12199.865658794028,11728.623232699116,13015.764473252966,14603.140018794442,13614.17209055901,11880.338333129512,11753.452497152532,11048.227676112689,10685.099307006372,15395.1915101527,11770.802380496503,12073.82661610089,11647.795531665795,14227.07670190892,13027.181884931922,11739.71592129532,13224.944216076878,10369.88739989408,12061.07220409832,10868.427988786909,11842.57785834612,11612.046336502364,12871.51512872968,11898.388498012737,11889.169719129222,11989.464392127467,12442.853988189318,11564.88842386115,11193.181761559788,11792.467526236798,14679.249438716424,11525.923228100277,11750.827212703894,11921.250095717289,12225.224286954575,12579.881591741803,11686.401565624594,11600.911520686326,11608.05774510426,12810.291529282136
